Index,Category,Claim
334,Community spread and impact,"Two photos showing notes scattered on a street have been shared hundreds of times on Facebook and YouTube alongside a claim they were taken in Italy during the novel coronavirus pandemic. The posts claim Italians have thrown money out of their homes in a symbolic gesture to highlight that money is futile during the pandemic.		"
335,Virus transmission,"A video has been viewed thousands of times in Facebook posts alongside a claim it shows a Sri Lankan doctor who invented a rapid test kit for the novel coronavirus, which causes the disease COVID-19.		"
336,Conspiracy theories,"A post shared hundreds of times on Facebook claims that Didier Raoult, a French specialist in infectious diseases, is urging Africans “not to take Bill Gates vaccine” against coronavirus as it contains “poison”.		"
337,Medical advice and self-treatments,"Social media posts shared thousands of times advocate 10 methods to prevent a novel coronavirus infection, citing recommendations allegedly stemming from autopsies on COVID-19 victims, including in China, where the virus first emerged.		"
338,Virus transmission,"COVID-19 cannot spread in warm countries.		"
339,Virus transmission,"COVID-19 is an airborne disease.		"
340,Claims about prominent actors,"Queen Elizabeth II is infected with the new coronavirus.		"
341,Community spread and impact,"Italian streets are littered with Euro notes, as Italians throw cash away in coronavirus crisis.		"
342,Community spread and impact,"The video shows Italians praying to get rid of the coronavirus.		"
343,Conspiracy theories,"Video tries to show coronavirus is fake and not dangerous.		"
344,"Public authority actions, policy, and communications","The army is patrolling all the streets, towns and villages in Ireland.		"
345,Community spread and impact,"A photo of COVID-19 patients lying on beds in an isolation ward in Pakistan.		"
346,Medical advice and self-treatments,"A video of a Doctor of Mumbai’s Kasturba hospital suggesting tea and hot water to cure COVID-19.		"
347,Conspiracy theories,"Coronavirus is caused by 5G.		"
348,Claims about prominent actors,"Filmmaker Sudhir Mishra getting beaten up by police during the lockdown for stepping out of home.		"
349,Medical advice and self-treatments,"Breathing steam from boiling citrus peels prevents and cures coronavirus.		"
350,"Vaccines, medical treatments, and tests","A new alcohol-free sanitizer has been developed by the Dedan Kimathi University in Kenya.		"
351,"Public authority actions, policy, and communications","President Uhuru Kenyatta of Kenya ordered credit reference bureaus to delist Kenyans who had defaulted on loans to protect Kenyans from the economic effects of COVID-19.		"
352,Community spread and impact,"Photo shows food being distributed to Rwandans during coronavirus lockdown.		"
353,Community spread and impact,"Photo shows Italians prostrating themselves and praying to Allah, during the coronavirus crisis.		"
354,Medical advice and self-treatments,"Inhalation of hot steam can kill the novel coronavirus.		"
355,Conspiracy theories,"Big Pharma is behind COVID-19 deaths.		"
356,"Public preparedness, protests, and civil disobedience","A video has been viewed thousands of times on Facebook, Instagram, Twitter and YouTube alongside a claim it shows people rioting and looting shops in England during the coronavirus lockdown.		"
357,Conspiracy theories,"COVID-19 is a hoax or scapegoat for economic disaster.		"
358,Claims about prominent actors,"Amid the coronavirus pandemic, Health Minister of India is playing Ludo.		"
359,Claims about prominent actors,"World Economic Forum is a “fascist cabal” manipulating coronavirus.		"
360,Claims about prominent actors,"CBS aired wrong video footage of a coronavirus hospital.		"
361,Medical advice and self-treatments,"Whether microwaving face masks sanitizes them.		"
362,Claims about prominent actors,"An audio clip of Dr. Naresh Trehan cautioning people about the danger of COVID-19 in India.		"
363,Claims about prominent actors,"Politician Rahul Gandhi met a coronavirus patient in Waynad.		"
364,Virus transmission,"A post has been shared repeatedly on Facebook, Twitter and on messaging app Line that claims Italy suffered a spike in novel coronavirus infections as a direct result of Italian citizens wearing shoes in their homes.		"
365,Medical advice and self-treatments,"Taking a flu shot causes false positive results on COVID-19 tests.		"
366,Virus origin and properties,"A video has been viewed tens of thousands of times in multiple Facebook, Instagram and YouTube posts which claim it shows people in China toppling a 5G tower because of fears that it cause the novel coronavirus.		"
367,Virus transmission,"WHO advisory asks people not to consume bakery items as they get contaminated by coronavirus easily.		"
368,Medical advice and self-treatments,"Inhalation of steam from hot water kills COVID-19		"
369,"Public authority actions, policy, and communications","A claim that India’s Ministry of Home Affairs has made it a “punishable offense” for citizens to publish posts on social media about the novel coronavirus has been shared repeatedly on Facebook, Twitter and WhatsApp.		"
370,Claims about prominent actors,"Did Kennedy Center give DNC $5 million after getting relief from coronavirus stimulus?		"
371,"Public authority actions, policy, and communications","A photo of a Sri Lankan military hospital has been shared thousands of times in multiple Facebook posts alongside a claim that it has been reserved exclusively for the use of “VIPs” who test positive for COVID-19, the disease caused by the novel coronavirus.		"
372,"Public authority actions, policy, and communications","As per Aajtak news channel, PM Narendra Modi announced a shutdown of internet services for a week.		"
373,"Public authority actions, policy, and communications","COVID-19 not being blamed for deaths due to unrelated causes.		"
374,"Public authority actions, policy, and communications","A photo of a Sri Lankan military hospital has been shared thousands of times in multiple Facebook posts alongside a claim that it has been reserved exclusively for the use of “VIPs” who test positive for COVID-19, the disease caused by the novel coronavirus.		"
375,Community spread and impact,"A video has been viewed tens of thousands of times in multiple Facebook, YouTube and Twitter posts alongside a claim it shows the Islamic call to prayer being heard in Spain during the COVID-19 epidemic for the first time in 500 years.		"
376,"Vaccines, medical treatments, and tests","Multiple posts shared hundreds of times on Facebook and Twitter in March 2020 claim a new vaccine and a new drug have been developed to prevent and treat the novel coronavirus. The posts claim the developments were made by scientists in Japan and the Philippines respectively.		"
377,"Public authority actions, policy, and communications","Amid COVID-19 pandemic, MP government ordered houses locked from April 1, 2020.		"
378,"Public preparedness, protests, and civil disobedience","Viral post along with a pictures claims civilian thrashing a policeman during lockdown.		"
379,Medical advice and self-treatments,"CDC recommends that people shave their facial hair to prevent coronavirus.		"
380,Virus transmission,"A front page article by the Southern Times cautioning against travel to Kenya because of the growing number of cases in Kenya.		"
381,Claims about prominent actors,"Whether CDC had scheduled announcement that all should wear masks for everyday life.		"
382,"Public authority actions, policy, and communications","If Florida banned alcohol sales due to coronavirus.		"
383,Claims about prominent actors,"As per the video, Bollywood actor Aamir Khan donated 250 crore to fight aganist COVID-19.		"
384,"Public authority actions, policy, and communications","Italian PM said that the country has surrendered to the COVID-19 pandemic		"
385,"Public authority actions, policy, and communications","Images shows how Indian police have beaten up migrant workers amid India’s lockdown for commuting		"
386,Virus origin and properties,"Whether coronavirus began with man having sex with a bat.		"
387,Virus transmission,"Whether countries with high rates of childhood vaccines were hit hardest by coronavirus.		"
388,Claims about prominent actors,"If Queen Elizabeth II tested positive for coronavirus.		"
389,"Public authority actions, policy, and communications","NY banned cigarette sales because of the coronavirus.		"
390,Claims about prominent actors,"As per the news of Aajtak, Home Minister Amit Shah tested postive for COVID-19.		"
391,Community spread and impact,"Fire triggered by gas tanker leak near Delhi’s Shahdara Mor.		"
392,Community spread and impact,"A claim that 500 body bags were delivered to an ice skating rink outside the Australian city of Adelaide has been shared widely on Facebook during the novel coronavirus pandemic.		"
393,"Public authority actions, policy, and communications","Italian president said that Italy has surrendered to the coronavirus.		"
394,"Public authority actions, policy, and communications","Images of the medical facility shared with the claim that the Indian Army set up a 1,000-bed hospital in Rajasthan during the coronavirus pandemic.		"
395,"Public authority actions, policy, and communications","In Sri Lanka, Sathosa Supermarket trucks bearing the image of former PM Mahinda Rajapaksa are being used to distribute food during current COVID-19 curfew. Text condemns the act by mentioning how ethical is it to carry out such acts during this difficult time and gain political advantage.		"
396,Virus transmission,"An audio clip is circulating on Whatsapp claiming that Nagpur (Second Capital of Indian state Maharashtra) has tested 59 positive coronavirus cases including three doctors.		"
397,Community spread and impact,"A post with a photo claiming that an Italian mother, suffering from COVID-19, hugs her baby		"
398,Community spread and impact,"Photo posts claim a person is committing suicide by jumping from a building in Italy, a doctor couple in an Italian hospital a few hours before their death and chaos in an Italian hospital amid COVID-19.		"
399,"Public preparedness, protests, and civil disobedience","An image has been shared hundreds of times in multiple posts on Facebook alongside a claim that shows a poster issued by activist group Extinction Rebellion stating “Corona is the cure, humans are the disease.”		"
400,Conspiracy theories,"Numerous conspiracy theories shared on and off social media claim that 5G mobile networks are the cause of the novel coronavirus pandemic.		"
401,"Public preparedness, protests, and civil disobedience","There is no space in the hospitals in Italy because people are crowding outside.		"
402,Virus transmission,"An Indian politician claimed that the strain of coronavirus in India is a less virulent mutation.		"
403,Community spread and impact,"Pictures of people stranded on hospital beds claimed to be Italians not coping with the pressures of COVID-19 cases; India should learn from Italy’s mistakes and not step out of the house in the 21-day lockdown		"
404,Community spread and impact,"A picture claims that an Italian man committed suicide after his whole family succumbed to COVID-19		"
405,Claims about prominent actors,"Reliance Jio, one of the biggest telecom networks in India, is providing Internet for free during the coronavirus pandemic.		"
406,"Public authority actions, policy, and communications","Videos showing police detaining COVID-19 patients in India.		"
407,"Public authority actions, policy, and communications","An image with human body figurines in a bowl that claims China is serving human baby soup in its restaurants.		"
408,Community spread and impact,"A herd of deer flocking out in Tamil Nadu, India, due to the coronavirus lockdown.		"
409,Claims about prominent actors,"Hospitals don’t allow parents to visit children with COVID-19 in the hospital.		"
410,Virus transmission,"The coronavirus did not reach the Chinese cities of Beijing and Shanghai, as well as Russia and North Korea.		"
411,"Public authority actions, policy, and communications","Dead bodies of coronavirus patients are being discarded in mass graves in Italy, according to a 23-second video clip that has gone viral on social media.		"
412,Community spread and impact,"The viral video claims mass graves are in Italy.		"
413,Virus transmission,"There are 59 positive coronavirus cases in Nagpur along with three doctors, one of whom is on ventilator.		"
414,Claims about prominent actors,"Prince Charles is infected with coronavirus after meeting Indian singer Kanika Kapoor.		"
415,"Public authority actions, policy, and communications","North Korean president has ordered to shoot the first coronavirus patient in his country.		"
416,Claims about prominent actors,"An image of Indian Home Minister Amit Shah visiting COVID-19 patients.		"
417,"Public authority actions, policy, and communications","An image with human body figurines in a bowl that claims China is serving human baby soup in its restaurants.		"
418,Claims about prominent actors,"An image of a purported CNN broadcast shared thousands of times in multiple social media posts claims Nigeria’s President Muhammadu Buhari and his chief of staff Abba Kyari tested positive for the novel coronavirus.		"
419,Conspiracy theories,"Illuminati controlled U.S. government; coronavirus caused by 5G.		"
420,Claims about prominent actors,"President Trump did sign a 5G bill but exposure effects are misleading.		"
421,Claims about prominent actors,"The UN is providing food aid to South American countries due to the coronavirus pandemic.		"
422,"Public authority actions, policy, and communications","China got prepared to contain the virus and let the whole population get infected.		"
423,"Public authority actions, policy, and communications","Paraguay’s Ministry of Health is not following up people who are related to confirmed cases of coronavirus.		"
424,"Public authority actions, policy, and communications","Ireland is in the first phase of a lockdown sequence.		"
425,Community spread and impact,"A publication by Pearls news says 15 Nigerian senators have tested positive for COVID-19.		"
426,"Public authority actions, policy, and communications","Image of police punishing people in Indian state of Assam for violating the curfew.		"
427,Claims about prominent actors,"Indian Singer Kanika Kapoor met Prince Charles, after which he tested positive for coronavirus.		"
428,Community spread and impact,"Italian doctor couple diagnosed with coronavirus.		"
429,Claims about prominent actors,"Uber suspends night services in Kenya.		"
430,Medical advice and self-treatments,"Compounds in tea can help cure COVID-19.		"
431,"Vaccines, medical treatments, and tests","A treatment for COVID-19 will be manufactured in Uganda.		"
432,Community spread and impact,"A picture showing dead Italian doctors in an operating theater after succumbing to COVID-19.		"
433,Claims about prominent actors,"Nairobi Governor Mike Sonko has donated 58 million shillings for COVID-19 response.		"
434,"Public authority actions, policy, and communications","Indian Government snooping messages over social media and all social media platforms will be monitored for COVID-19 messages		"
435,Community spread and impact,"Pakistani doctor Osama Riaz’s last message for you (while taking his last breath).		"
436,Community spread and impact,"Last photo of Indonesian doctor Hadio Ali standing away from his family before he passed away from COVID-19		"
437,Medical advice and self-treatments,"Leave objects in the sun to avoid contracting the coronavirus.		"
438,Claims about prominent actors,"Streaming apps Netflix and Amazon Prime give free subscriptions during COVID-19 outbreak in India.		"
439,"Public authority actions, policy, and communications","Indian Army has built a 1,000-bed quarantine facility for COVID-19.		"
440,Community spread and impact,"An image of a couple claimed to be doctors who have lost their lives to the coronavirus.		"
441,Claims about prominent actors,"The Brazilian singer Preta Gil was infected with COVID-19 and performed to more than 320,000 people.		"
442,Community spread and impact,"Several photographs published on Facebook claim to portray coffins with victims of the new coronavirus in Italy.		"
443,Medical advice and self-treatments,"A message in an image claims that drinking coffee can help prevent the new coronavirus.		"
444,Community spread and impact,"Over 200 doctors in Italy die every day due to coronavirus.		"
445,"Public authority actions, policy, and communications","A photo of a fleet of blue lorries bearing the image of Sri Lankan Prime Minister Mahinda Rajapaksa has been shared repeatedly on Facebook and Twitter alongside a claim that the lorries were distributing food during the novel coronavirus curfew.		"
446,Community spread and impact,"Images of patients treated in the open are from Italy as it has run out of hospital beds.		"
447,"Public authority actions, policy, and communications","While coronavirus tests in other countries are conducted for free or at nominal charges, in India, it costs Rs 4,500		"
448,Medical advice and self-treatments,"Coronavirus has a pH level of 5.5 to 8.5 and can be prevented and cured by eating alkaline foods.		"
449,"Public authority actions, policy, and communications","A purported notice issued by the Pakistan Red Crescent and Pakistan’s Health Department on COVID-19 isolation rules has been shared thousands of times on Facebook. The advisory claims that families of those killed while in isolation will not be able to hold funerals or burials for them		"
450,Claims about prominent actors,"An “open letter” purportedly written by US billionaire and philanthropist Bill Gates about the novel coronavirus pandemic has been shared in English and Chinese on Facebook, Twitter and various websites. The Chinese-language posts state the letter was translated from its original publication in British newspaper The Sun.		"
451,"Public authority actions, policy, and communications","Children will be separated from parents for coronavirus treatment.		"
452,"Public authority actions, policy, and communications","Congress included include a raise for themselves in the coronavirus stimulus package.		"
453,"Public authority actions, policy, and communications","Tanks are coming into U.S. towns in advance for martial law		"
454,Medical advice and self-treatments,"Bitter gourd juice can cure novel coronavirus, as per Bihar Health Department in India.		"
455,Community spread and impact,"A photo of a couple locked in an intimate embrace with their face masks lowered has been shared in Facebook posts that claim they were nurses who were treating COVID-19 patients in an Italian hospital.		"
456,Community spread and impact,"An Image is being shared on social media claiming; this italian doctor couple in the picture worked day and night and saved the lives of 134 patients, but on the eighth day, they caught coronavirus and died after an hour.		"
457,Community spread and impact,"Paraguayans should not go out “even to buy bread” because the incubation period is up and positive cases of coronavirus will increase.		"
458,Medical advice and self-treatments,"Holding your breath for 10 seconds is a way to test for coronavirus.		"
459,Claims about prominent actors,"Netflix is providing free access to the platform due to quarantine.		"
460,Claims about prominent actors,"New York Governor Andrew Cuomo “rejected buying the recommended 16,000 ventilators in 2015 for a pandemic, and established death panels and lotteries instead. So he had a chance to buy, in 2015, 16,000 ventilators at a very low price, and he turned it down.”		"
461,Claims about prominent actors,"Wisconsin Governor Tony Evers is “pushing firearm confiscation orders.”		"
462,"Public authority actions, policy, and communications","Indian Army has set-up a 1,000 bed quarantine facility in Rajasthan’s Barmer.		"
463,Claims about prominent actors,"Justin Trudeau’s wife has released a video from her hospital bed.		"
464,Claims about prominent actors,"President of Italy crying because of the coronavirus pandemic.		"
465,Conspiracy theories,"There is no coronavirus. The Chinese were secretly working on a biological agent that was supposed to make protesters docile and obedient.		"
466,Medical advice and self-treatments,"Tea can cure coronavirus.		"
467,"Vaccines, medical treatments, and tests","New vaccine can help cure coronavirus in three hours.		"
468,Medical advice and self-treatments,"Gargling with hot water can prevent coronavirus infection.		"
469,"Public authority actions, policy, and communications","A video has been shared thousands of times in multiple posts on Facebook which claim it shows a woman who was detained by police in Australia after she tested positive for the novel coronavirus, COVID-19, and was filmed spitting at a supermarket in a Sydney suburb.		"
470,"Public authority actions, policy, and communications","A screenshot of a purported news broadcast showing a lion in the street and reporting that Russia has deployed hundreds of lions to maintain order during the novel coronavirus lockdown has been shared tens of thousands of times on Facebook and Twitter.		"
471,"Public authority actions, policy, and communications","A purported news report claims that Philippine President Rodrigo Duterte approved the release of P20,000 (USD $400) to all recipients of the Philippines’ Social Security System (SSS) to help them through the novel coronavirus pandemic.		"
472,Claims about prominent actors,"A video allegedly showing Canadian Prime Minister Justin Trudeau’s wife in a hospital bed urging people to stay home to avoid ending up seriously ill with the novel coronavirus has been shared thousands of times on Facebook and Twitter.		"
473,Community spread and impact,"23 new COVID-19 cases confirmed in Mombasa.		"
474,Community spread and impact,"A photo showing the bodies of Italian COVID-19 victims on a street.		"
475,Claims about prominent actors,"Pakistani Dr. Usman Riaz speaks about coronavirus before his death.		"
476,"Public authority actions, policy, and communications","Purported advisories urging residents to stay indoors while national air force helicopters spray disinfectant over homes to kill off the novel coronavirus have been circulated online in Sri Lanka and the Philippines.		"
477,Claims about prominent actors,"Globe Telecom is giving every subscriber free mobile load worth P500 as help or donation amid the coronavirus crisis.		"
478,Medical advice and self-treatments,"Gargling with hot water cures coronavirus, says a doctor from Mumbai’s COVID-19 hospital.		"
479,Claims about prominent actors,"A police commissioner from Mumbai has asked essential services to be available at certain hours.		"
480,Claims about prominent actors,"Says that under order from Gov. Tony Evers, he and his eight children can’t legally have dinner together anymore.		"
481,"Public authority actions, policy, and communications","Says Nancy Pelosi’s coronavirus bill includes “tax credits for solar and wind energy … retirement plans for community newspaper employees … $300 million for PBS … climate change studies” and more.		"
482,Community spread and impact,"Gargling with warm water and salt or vinegar eliminates the coronavirus.		"
483,Virus transmission,"[SARS-CoV-2] is spreading quickly from gas pumps. Shopping carts as well.		"
484,Claims about prominent actors,"Trump web ad usings misleading edits to create a false picture.		"
485,Community spread and impact,"A post says that, on 3/22/20, 793 people died in Italy and included 232 kids.		"
486,"Vaccines, medical treatments, and tests","A post says that a vaccine for the new coronavirus will be available in a few days.		"
487,"Public authority actions, policy, and communications","Facebook posts featuring a photo of ventilators in the U.S. state of New York claim the devices are “stuck in a warehouse.”		"
488,Community spread and impact,"Photo of people in medical scrubs lying on the floor of an operating theatre shows some of the 200 Italian doctors who died of COVID-19 in one day on 3/23/20.		"
489,Community spread and impact,"An image shared on social media claims this Italian doctor couple worked day and night and saved the lives of 134 patients, but on the eighth day, they contracted the coronavirus and died after an hour.		"
490,Community spread and impact,"An image shared on social media claims this Italian doctor couple worked day and night and saved the lives of 134 patients, but on the eighth day, they contracted the coronavirus and died after an hour.		"
491,Medical advice and self-treatments,"Homemade masks prevent the spread of coronavirus.		"
492,"Public authority actions, policy, and communications","Posts shared thousands of times on Facebook claim to provide an emergency food stamp hotline.		"
493,Claims about prominent actors,"A video of a woman reciting Sanskrit verses has been viewed thousands of times on Facebook and Twitter alongside a claim that she was delivering sacred verses on a Spanish radio station during the novel coronavirus pandemic.		"
494,"Public authority actions, policy, and communications","Multiple posts shared repeatedly on Facebook and Twitter claim that a Hong Kong medical lab has warned the novel coronavirus can remain viable on fruits and vegetables for 12 hours, therefore people should “avoid salads” over fears of contracting COVID-19.		"
495,Community spread and impact,"Deaths blamed on coronavirus are actually due to the flu.		"
496,Claims about prominent actors,"The names of coronavirus victims have been published online in media.		"
497,"Vaccines, medical treatments, and tests","A new vaccine to cure coronavirus has been developed by U.S. scientists.		"
498,Community spread and impact,"A photo has been shared hundreds of times on Facebook alongside a claim it shows coffins of coronavirus victims in Italy.		"
499,"Public authority actions, policy, and communications","Russia has unleashed over 500 lions to ensure that people stay inside their homes amid the coronavirus outbreak.		"
500,"Public authority actions, policy, and communications","Russia has allegedly unleashed over 500 lions in order to ensure that people stay inside their houses.		"
501,"Vaccines, medical treatments, and tests","A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered. The viral forward also claims that the treatment for coronavirus is mentioned in India’s Intermediate Zoology book. The viral forward reads, “It is not a new disease as it is already mentioned in the Intermediate zoology book along with its treatment. It happens sometimes that many great scientists and doctors do not focus on lesser-known books as they are mostly busy with famous books. Book name: Zoology, Writer: Dr. Ramesh Gupta, Page No. 1072.) Friends, this is not fake news so I request you to kindly share it maximum so all coronavirus patients are treated in time.”		"
502,Medical advice and self-treatments,An audio message lists five ways people can prevent the novel coronavirus.                
503,,"The WHO confirms COVID-19 is airborne and remains in the air for 8 hours.		"
504,"Vaccines, medical treatments, and tests","A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered. The viral forward also claims that the treatment for coronavirus is mentioned in India’s Intermediate Zoology book.		"
505,"Vaccines, medical treatments, and tests","A WhatsApp forward claims that the COVID-19 vaccine is ready, was announced by U.S. President Donald Trump, and will be launched next Sunday. It also claims that the vaccine discovered by the U.S. scientists can cure a COVID-19 infected patient within 3 hours. With the WhatsApp forward, the alleged image of the vaccine is also being shared.		"
506,Claims about prominent actors,"Italy’s Prime Minister Giuseppe Conte broke down publicly due to the ongoing coronavirus pandemic.		"
507,"Vaccines, medical treatments, and tests","A Facebook post asserts the U.S. developed a COVID-19 vaccine to release this Sunday.		"
508,"Public authority actions, policy, and communications","A lengthy post purportedly contains advice on how to prevent infection from the novel coronavirus. The post claims the advice was issued by a UK hospital to its medical staff.		"
509,Medical advice and self-treatments,"Holding your breath can let you test whether you may have COVID-19.		"
510,"Vaccines, medical treatments, and tests","Roche has developed a COVID-19 vaccine.		"
511,Community spread and impact,"A photo showing Uganda’s first case of COVID-19.		"
512,"Public authority actions, policy, and communications","Russian President Vladimir Putin releases 800 tigers and 500 lions amid the coronavirus outbreak to keep people at home.		"
513,"Public authority actions, policy, and communications","Italian Prime Minister Giuseppe Conte was quoted in various posts and graphics on Facebook as saying they have “lost control” of the coronavirus pandemic that is greatly affecting Italy.		"
514,"Vaccines, medical treatments, and tests","A new vaccine that can cure COVID-19 patients in 3 hours is now ready.		"
515,"Public authority actions, policy, and communications","Image attributed to Italian Prime Minister suggesting Italy has lost control.		"
516,Virus transmission,"The CDC now says that the coronavirus can survive on surfaces for up to 17 days.		"
517,"Public authority actions, policy, and communications","“Donald Trump would receive $17 million for three hotels closed for four days under Republican bill! How in the hell is this right?!”		"
518,"Public authority actions, policy, and communications","Vladimir Putin let lions loose in the streets of Russia to keep them indoors amid COVID-19.		"
519,Community spread and impact,"Coronavirus has gripped Italy and nobody is willing to carry corpses off Italy’s streets.		"
520,"Public authority actions, policy, and communications","Italian police are being brutal on people not following lockdowns; India should follow.		"
521,"Public authority actions, policy, and communications","“Special military helicopters will spray pesticide against the coronavirus in the skies all over the country.”		"
522,"Public authority actions, policy, and communications","“Putin has stated: Russian citizens (have) 2 options: Stay home for 15 days or in jail for 5 years.”		"
523,Medical advice and self-treatments,"“Slices of lemon in a cup of hot water can save your life. The hot lemon can kill the proliferation of” the novel coronavirus.		"
524,"Public preparedness, protests, and civil disobedience","Footage purportedly showing a looting spree in Mexico prompted by panic over the novel coronavirus was aired on multiple Facebook live streams and viewed by tens of thousands of people during the week of 3/23/20. Posts sharing the streams claimed that the chaotic scene was happening in real-time.		"
525,Community spread and impact,"Photographs shared hundreds of times online purport to show the coffins of Italian victims of the novel coronavirus pandemic.		"
526,Claims about prominent actors,"A video of former Iraqi dictator Saddam Hussein has been shared repeatedly on Facebook, Twitter and Instagram alongside a claim it shows him stating the U.S threatened to spread the novel coronavirus in Iraq during a meeting in the 1990s.                "
527,Conspiracy theories,"George Soros is one of the people responsible for the new coronavirus, born in a laboratory.		"
528,Community spread and impact,"Photo shows dozens of wooden coffins of people dead from the coronavirus in Italy.		"
529,"Public authority actions, policy, and communications","South African mayor claimed that Interferon alpha-2b is a vaccine for the new coronavirus.		"
530,Community spread and impact,"A video has been viewed tens of thousands of times on Facebook, Twitter and YouTube alongside a claim it shows Italian nationals expressing their gratitude to China for providing aid during the novel coronavirus pandemic.		"
531,"Public authority actions, policy, and communications","Russia has unleashed over 500 lions to ensure that people stay inside their homes amid the coronavirus outbreak.		"
532,"Vaccines, medical treatments, and tests","A WhatsApp forward claimed that a vaccine for coronavirus has been discovered. It also claims that the treatment for coronavirus is mentioned in India’s Intermediate Zoology book. The viral forward reads, “It is not a new disease as it is already mentioned in the Intermediate Zoology book along with its treatment. It happens sometimes that many great scientists and doctors do not focus on lesser-known books as they are mostly busy with famous books. (Book name: Zoology, Writer: Dr. Ramesh Gupta, Page No. 1072.) Friends, this is not fake news so I request you to kindly share it maximum so all coronavirus patients are treated in time.”		"
533,"Public authority actions, policy, and communications","Russia has unleashed over 500 lions to ensure that people stay inside their homes amid the coronavirus outbreak.		"
534,"Public authority actions, policy, and communications","The mayor of Guayaquil in Ecuador lied about her health condition		"
535,"Public authority actions, policy, and communications","The Health Minister in Ecuador quit her job because she was forced to lie about the statistics of COVID-19 related cases.		"
536,"Public authority actions, policy, and communications","The president of Ecuador doesn’t ask for help to China because of the IMF		"
537,"Public authority actions, policy, and communications","Whatsapp audio ensures there will be a 24-hour curfew for 5 days in Ecuador.		"
538,"Public authority actions, policy, and communications","Fake Twitter account of the Ecuadorean Health Ministry.		"
539,"Public preparedness, protests, and civil disobedience","People are still shopping in malls in spite of the curfew and mobility restrictions in Ecuador.		"
540,"Vaccines, medical treatments, and tests","The vaccine that China is testing for COVID-19 is bad for humans.		"
541,Virus transmission,"An image encourages people to stay home and not go out to terraces or balconies .		"
542,"Public authority actions, policy, and communications","Because of the global quarantine, the WHO and the Ecuadorian government have given a weekly bonus to each family for food and medicine.		"
543,"Public authority actions, policy, and communications","Ecuadorian government gives money to people from Venezuela.		"
544,"Public authority actions, policy, and communications","Multiple posts on Facebook and Twitter claim the WHO has warned against eating cabbage during the novel coronavirus pandemic.		"
545,"Public authority actions, policy, and communications","A video of food packets deposited on a street has been viewed millions of times on Facebook, Twitter and YouTube alongside a claim it shows food donations for people in Turkey during a novel coronavirus lockdown.		"
546,"Public authority actions, policy, and communications","An image has been shared multiple times on Facebook in Liberia in support of a claim that pastors were beaten for defying government restrictions on religious gatherings amid the novel coronavirus outbreak.		"
547,"Public authority actions, policy, and communications","Whether 60 Democrats voted against coronavirus stimulus bill.		"
548,"Public authority actions, policy, and communications","Russian President Putin released 500 lions onto the streets to keep people indoors.		"
549,"Vaccines, medical treatments, and tests","Getting a flu shot increases the risk of coronavirus by 36%.		"
550,"Public authority actions, policy, and communications","President Trump refers to the coronavirus as a hoax in an audio clip.		"
551,Medical advice and self-treatments,"Does vaping reduce your chances of getting the coronavirus?		"
552,"Public authority actions, policy, and communications","Russian president using lions to ensure people stayed indoors in Russia.		"
553,Claims about prominent actors,"Channel 4’s Jon Snow is infected with coronavirus.		"
554,Virus transmission,"Initial lack of evidence for human-to-human COVID-19 transmission unusual.		"
555,Claims about prominent actors,"Tom Hanks died, confessed admiration for Trump.		"
556,"Public authority actions, policy, and communications","Helicopters Are Spraying Disinfectants To Try To Eradicate Coronavirus.		"
557,"Vaccines, medical treatments, and tests","A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered. The viral forward also claims that the treatment for coronavirus is mentioned in India’s Intermediate Zoology book.		"
558,"Public preparedness, protests, and civil disobedience","Riots in London due to the unavailability of food items. The United Kingdom will be locked down by tonight. Army soldiers take to the UK streets.		"
559,"Public authority actions, policy, and communications","Photographs of the Army in Dublin city centre show that the country is about to go into lockdown.		"
560,Medical advice and self-treatments,"“Boil some orange peels with cayenne pepper, stand over the pot, breathe in the steam so all mucus can be released from your nasal passages … Mucus is the problem, it’s where the virus lives!”		"
561,Virus transmission,"Coronavirus is infectious in the air for 8 hours and everyone must wear a face mask.		"
562,"Vaccines, medical treatments, and tests","An image has been shared thousands of times in multiple posts on Facebook alongside a claim that it shows a medicine created by U.S. scientists that can cure the novel coronavirus.		"
563,Claims about prominent actors,"A photo has been shared hundreds of times in multiple Facebook, Twitter and Instagram posts alongside a claim that it shows Italy’s president crying over the novel coronavirus epidemic that has claimed thousands of lives in his country.		"
564,"Public authority actions, policy, and communications","A video shared thousands of times on Facebook claims to show police in Zimbabwe beating churchgoers because their place of worship refused to close to prevent the spread of COVID-19.		"
565,"Public authority actions, policy, and communications","A purported emergency notice from Australian authorities has been shared hundreds of times in multiple posts on Facebook and Twitter. It states people can receive free home visits from doctors during the novel coronavirus pandemic.		"
566,Community spread and impact,"A viral WhatsApp voice note in Nigeria claims that the coronavirus could kill up to 45 million Nigerians.		"
567,Claims about prominent actors,"Photo of the “crying president of Italy” with a caption stating Italy was not prepared to deal with the coronavirus outbreak despite having adequate health facilities.		"
568,"Public authority actions, policy, and communications","Prime Minister Narendra Modi announced a 14-hour curfew as the virus lives for 12 hours on surfaces.		"
569,Claims about prominent actors,"Celebrities spreading misinformation about coronavirus and the Janata curfew in India.		"
