,Claim,Keywords
354,Taking a flu shot causes false positive results on COVID    tests   ,"['taking', 'shot', 'cause', 'false', 'positive', 'result', 'covid', 'test']"
355,A video has been viewed tens of thousands of times in multiple Facebook  Instagram and YouTube posts which claim it shows people in China toppling a  G tower because of fears that it cause the novel coronavirus   ,"['viewed', 'thousand', 'time', 'multiple', 'facebook', 'instagram', 'youtube', 'post', 'claim', 'show', 'people', 'china', 'toppling', 'tower', 'fear', 'cause', 'novel', 'coronavirus']"
356,WHO advisory asks people not to consume bakery items as they get contaminated by coronavirus easily   ,"['advisory', 'asks', 'people', 'consume', 'bakery', 'item', 'contaminated', 'coronavirus', 'easily']"
357,Inhalation of steam from hot water kills COVID     ,"['inhalation', 'steam', 'water', 'kill', 'covid']"
358,A claim that India s Ministry of Home Affairs has made it a  punishable offense  for citizens to publish posts on social media about the novel coronavirus has been shared repeatedly on Facebook  Twitter and WhatsApp   ,"['claim', 'india', 'ministry', 'home', 'affair', 'made', 'punishable', 'offense', 'citizen', 'publish', 'post', 'social', 'medium', 'novel', 'coronavirus', 'shared', 'repeatedly', 'facebook', 'twitter', 'whatsapp']"
359,Did Kennedy Center give DNC    million after getting relief from coronavirus stimulus   ,"['kennedy', 'center', 'give', 'million', 'getting', 'relief', 'coronavirus', 'stimulus']"
360,As per Aajtak news channel  PM Narendra Modi announced a shutdown of internet services for a week   ,"['aajtak', 'news', 'channel', 'narendra', 'modi', 'announced', 'shutdown', 'internet', 'service', 'week']"
361,COVID    not being blamed for deaths due to unrelated causes   ,"['covid', 'blamed', 'death', 'unrelated', 'cause']"
362,A video has been viewed tens of thousands of times in multiple Facebook  YouTube and Twitter posts alongside a claim it shows the Islamic call to prayer being heard in Spain during the COVID    epidemic for the first time in     years   ,"['viewed', 'thousand', 'time', 'multiple', 'facebook', 'youtube', 'twitter', 'post', 'alongside', 'claim', 'show', 'islamic', 'call', 'prayer', 'heard', 'spain', 'covid', 'epidemic', 'first', 'time', 'year']"
363,Multiple posts shared hundreds of times on Facebook and Twitter in March      claim a new vaccine and a new drug have been developed to prevent and treat the novel coronavirus  The posts claim the developments were made by scientists in Japan and the Philippines respectively   ,"['multiple', 'post', 'shared', 'hundred', 'time', 'facebook', 'twitter', 'march', 'claim', 'vaccine', 'drug', 'developed', 'prevent', 'treat', 'novel', 'coronavirus', 'post', 'claim', 'development', 'made', 'scientist', 'japan', 'philippine', 'respectively']"
364,Amid COVID    pandemic  MP government ordered houses locked from April           ,"['amid', 'covid', 'pandemic', 'government', 'ordered', 'house', 'locked', 'april']"
365,Viral post along with a pictures claims civilian thrashing a policeman during lockdown   ,"['viral', 'along', 'picture', 'claim', 'civilian', 'thrashing', 'policeman', 'lockdown']"
366,CDC recommends that people shave their facial hair to prevent coronavirus   ,"['recommends', 'people', 'shave', 'facial', 'hair', 'prevent', 'coronavirus']"
367,A front page article by the Southern Times cautioning against travel to Kenya because of the growing number of cases in Kenya   ,"['front', 'page', 'article', 'southern', 'time', 'cautioning', 'travel', 'kenya', 'growing', 'number', 'case', 'kenya']"
368,Whether CDC had scheduled announcement that all should wear masks for everyday life   ,"['whether', 'scheduled', 'announcement', 'wear', 'mask', 'everyday', 'life']"
369,If Florida banned alcohol sales due to coronavirus   ,"['florida', 'banned', 'alcohol', 'sale', 'coronavirus']"
370,As per the video  Bollywood actor Aamir Khan donated     crore to fight aganist COVID      ,"['bollywood', 'actor', 'aamir', 'khan', 'donated', 'crore', 'fight', 'aganist', 'covid']"
371,Images shows how Indian police have beaten up migrant workers amid India s lockdown for commuting  ,"['image', 'show', 'indian', 'police', 'beaten', 'migrant', 'worker', 'amid', 'india', 'lockdown', 'commuting']"
372,Whether coronavirus began with man having sex with a bat   ,"['whether', 'coronavirus', 'began']"
373,Whether countries with high rates of childhood vaccines were hit hardest by coronavirus   ,"['whether', 'country', 'high', 'rate', 'childhood', 'vaccine', 'hardest', 'coronavirus']"
374,If Queen Elizabeth II tested positive for coronavirus   ,"['queen', 'elizabeth', 'tested', 'positive', 'coronavirus']"
375,NY banned cigarette sales because of the coronavirus   ,"['banned', 'cigarette', 'sale', 'coronavirus']"
376,As per the news of Aajtak  Home Minister Amit Shah tested postive for COVID      ,"['news', 'aajtak', 'home', 'minister', 'amit', 'shah', 'tested', 'postive', 'covid']"
377,Fire triggered by gas tanker leak near Delhi s Shahdara Mor   ,"['fire', 'triggered', 'tanker', 'leak', 'near', 'delhi', 'shahdara']"
378,Italian president said that Italy has surrendered to the coronavirus   ,"['italian', 'president', 'said', 'italy', 'surrendered', 'coronavirus']"
379,Images of the medical facility shared with the claim that the Indian Army set up a       bed hospital in Rajasthan during the coronavirus pandemic   ,"['image', 'medical', 'facility', 'shared', 'claim', 'indian', 'army', 'hospital', 'rajasthan', 'coronavirus', 'pandemic']"
380,In Sri Lanka  Sathosa Supermarket trucks bearing the image of former PM Mahinda Rajapaksa are being used to distribute food during current COVID    curfew  Text condemns the act by mentioning how ethical is it to carry out such acts during this difficult time and gain political advantage   ,"['lanka', 'sathosa', 'supermarket', 'truck', 'bearing', 'image', 'former', 'mahinda', 'rajapaksa', 'used', 'distribute', 'food', 'current', 'covid', 'curfew', 'text', 'condemns', 'mentioning', 'ethical', 'carry', 'difficult', 'time', 'gain', 'political', 'advantage']"
381,An audio clip is circulating on Whatsapp claiming that Nagpur  Second Capital of Indian state Maharashtra  has tested    positive coronavirus cases including three doctors   ,"['circulating', 'whatsapp', 'claiming', 'nagpur', 'second', 'capital', 'indian', 'state', 'maharashtra', 'tested', 'positive', 'coronavirus', 'case', 'including', 'three', 'doctor']"
382,A post with a photo claiming that an Italian mother  suffering from COVID     hugs her baby  ,"['claiming', 'italian', 'mother', 'suffering', 'covid', 'baby']"
383,Photo posts claim a person is committing suicide by jumping from a building in Italy  a doctor couple in an Italian hospital a few hours before their death and chaos in an Italian hospital amid COVID      ,"['photo', 'post', 'claim', 'person', 'committing', 'suicide', 'jumping', 'building', 'italy', 'doctor', 'couple', 'italian', 'hospital', 'hour', 'death', 'chaos', 'italian', 'hospital', 'amid', 'covid']"
384,An image has been shared hundreds of times in multiple posts on Facebook alongside a claim that shows a poster issued by activist group Extinction Rebellion stating  Corona is the cure  humans are the disease    ,"['image', 'shared', 'hundred', 'time', 'multiple', 'post', 'facebook', 'alongside', 'claim', 'show', 'poster', 'issued', 'activist', 'group', 'extinction', 'rebellion', 'stating', 'corona', 'cure', 'human', 'disease']"
385,Numerous conspiracy theories shared on and off social media claim that  G mobile networks are the cause of the novel coronavirus pandemic   ,"['numerous', 'conspiracy', 'theory', 'shared', 'social', 'medium', 'claim', 'mobile', 'network', 'cause', 'novel', 'coronavirus', 'pandemic']"
386,There is no space in the hospitals in Italy because people are crowding outside   ,"['there', 'space', 'hospital', 'italy', 'people', 'crowding', 'outside']"
387,An Indian politician claimed that the strain of coronavirus in India is a less virulent mutation   ,"['indian', 'politician', 'claimed', 'strain', 'coronavirus', 'india', 'virulent', 'mutation']"
388,Pictures of people stranded on hospital beds claimed to be Italians not coping with the pressures of COVID    cases  India should learn from Italy s mistakes and not step out of the house in the    day lockdown  ,"['picture', 'people', 'stranded', 'hospital', 'claimed', 'italian', 'coping', 'pressure', 'covid', 'case', 'india', 'learn', 'italy', 'mistake', 'step', 'house', 'lockdown']"
389,A picture claims that an Italian man committed suicide after his whole family succumbed to COVID     ,"['picture', 'claim', 'italian', 'committed', 'suicide', 'whole', 'family', 'succumbed', 'covid']"
390,Reliance Jio  one of the biggest telecom networks in India  is providing Internet for free during the coronavirus pandemic   ,"['reliance', 'biggest', 'telecom', 'network', 'india', 'providing', 'internet', 'free', 'coronavirus', 'pandemic']"
391,Videos showing police detaining COVID    patients in India   ,"['video', 'showing', 'police', 'detaining', 'covid', 'patient', 'india']"
392,A herd of deer flocking out in Tamil Nadu  India  due to the coronavirus lockdown   ,"['herd', 'deer', 'flocking', 'tamil', 'nadu', 'india', 'coronavirus', 'lockdown']"
393,Hospitals don t allow parents to visit children with COVID    in the hospital   ,"['hospital', 'allow', 'parent', 'visit', 'child', 'covid', 'hospital']"
394,The coronavirus did not reach the Chinese cities of Beijing and Shanghai  as well as Russia and North Korea   ,"['coronavirus', 'reach', 'chinese', 'city', 'beijing', 'shanghai', 'well', 'russia', 'north', 'korea']"
395,Dead bodies of coronavirus patients are being discarded in mass graves in Italy  according to a    second video clip that has gone viral on social media   ,"['dead', 'body', 'coronavirus', 'patient', 'discarded', 'mass', 'graf', 'italy', 'according', 'second', 'gone', 'viral', 'social', 'medium']"
396,The viral video claims mass graves are in Italy   ,"['viral', 'claim', 'mass', 'graf', 'italy']"
397,There are    positive coronavirus cases in Nagpur along with three doctors  one of whom is on ventilator   ,"['there', 'positive', 'coronavirus', 'case', 'nagpur', 'along', 'three', 'doctor', 'ventilator']"
398,Prince Charles is infected with coronavirus after meeting Indian singer Kanika Kapoor   ,"['prince', 'charles', 'infected', 'coronavirus', 'meeting', 'indian', 'singer', 'kanika', 'kapoor']"
399,North Korean president has ordered to shoot the first coronavirus patient in his country   ,"['north', 'korean', 'president', 'ordered', 'shoot', 'first', 'coronavirus', 'patient', 'country']"
400,An image of Indian Home Minister Amit Shah visiting COVID    patients   ,"['image', 'indian', 'home', 'minister', 'amit', 'shah', 'visiting', 'covid', 'patient']"
401,An image of a purported CNN broadcast shared thousands of times in multiple social media posts claims Nigeria s President Muhammadu Buhari and his chief of staff Abba Kyari tested positive for the novel coronavirus   ,"['image', 'purported', 'broadcast', 'shared', 'thousand', 'time', 'multiple', 'social', 'medium', 'post', 'claim', 'nigeria', 'president', 'muhammadu', 'buhari', 'chief', 'staff', 'abba', 'kyari', 'tested', 'positive', 'novel', 'coronavirus']"
402,Illuminati controlled U S  government  coronavirus caused by  G   ,"['illuminati', 'controlled', 'government', 'coronavirus', 'caused']"
403,President Trump did sign a  G bill but exposure effects are misleading   ,"['president', 'trump', 'sign', 'bill', 'exposure', 'effect', 'misleading']"
404,The UN is providing food aid to South American countries due to the coronavirus pandemic   ,"['providing', 'food', 'south', 'american', 'country', 'coronavirus', 'pandemic']"
405,China got prepared to contain the virus and let the whole population get infected   ,"['china', 'prepared', 'contain', 'virus', 'whole', 'population', 'infected']"
406,Paraguay s Ministry of Health is not following up people who are related to confirmed cases of coronavirus   ,"['paraguay', 'ministry', 'health', 'following', 'people', 'related', 'confirmed', 'case', 'coronavirus']"
407,Ireland is in the first phase of a lockdown sequence   ,"['ireland', 'first', 'phase', 'lockdown', 'sequence']"
408,A publication by Pearls news says    Nigerian senators have tested positive for COVID      ,"['publication', 'pearl', 'news', 'nigerian', 'senator', 'tested', 'positive', 'covid']"
409,Image of police punishing people in Indian state of Assam for violating the curfew   ,"['image', 'police', 'punishing', 'people', 'indian', 'state', 'assam', 'violating', 'curfew']"
410,Indian Singer Kanika Kapoor met Prince Charles  after which he tested positive for coronavirus   ,"['indian', 'singer', 'kanika', 'kapoor', 'prince', 'charles', 'tested', 'positive', 'coronavirus']"
411,Italian doctor couple diagnosed with coronavirus   ,"['italian', 'doctor', 'couple', 'diagnosed', 'coronavirus']"
412,Uber suspends night services in Kenya   ,"['uber', 'suspends', 'night', 'service', 'kenya']"
413,Compounds in tea can help cure COVID      ,"['compound', 'help', 'cure', 'covid']"
414,A treatment for COVID    will be manufactured in Uganda   ,"['treatment', 'covid', 'manufactured', 'uganda']"
415,A picture showing dead Italian doctors in an operating theater after succumbing to COVID      ,"['picture', 'showing', 'dead', 'italian', 'doctor', 'operating', 'theater', 'succumbing', 'covid']"
416,Nairobi Governor Mike Sonko has donated    million shillings for COVID    response   ,"['nairobi', 'governor', 'mike', 'sonko', 'donated', 'million', 'shilling', 'covid', 'response']"
417,Indian Government snooping messages over social media and all social media platforms will be monitored for COVID    messages  ,"['indian', 'government', 'snooping', 'message', 'social', 'medium', 'social', 'medium', 'platform', 'monitored', 'covid', 'message']"
418,Pakistani doctor Osama Riaz s last message for you  while taking his last breath    ,"['pakistani', 'doctor', 'osama', 'riaz', 'last', 'message', 'taking', 'last', 'breath']"
419,Last photo of Indonesian doctor Hadio Ali standing away from his family before he passed away from COVID     ,"['last', 'indonesian', 'doctor', 'hadio', 'standing', 'away', 'family', 'passed', 'away', 'covid']"
420,Leave objects in the sun to avoid contracting the coronavirus   ,"['leave', 'object', 'avoid', 'contracting', 'coronavirus']"
421,Streaming apps Netflix and Amazon Prime give free subscriptions during COVID    outbreak in India   ,"['streaming', 'apps', 'netflix', 'amazon', 'prime', 'give', 'free', 'subscription', 'covid', 'outbreak', 'india']"
422,Indian Army has built a       bed quarantine facility for COVID      ,"['indian', 'army', 'built', 'quarantine', 'facility', 'covid']"
423,An image of a couple claimed to be doctors who have lost their lives to the coronavirus   ,"['image', 'couple', 'claimed', 'doctor', 'lost', 'life', 'coronavirus']"
424,The Brazilian singer Preta Gil was infected with COVID    and performed to more than         people   ,"['brazilian', 'singer', 'preta', 'infected', 'covid', 'performed', 'people']"
425,Several photographs published on Facebook claim to portray coffins with victims of the new coronavirus in Italy   ,"['several', 'photograph', 'published', 'facebook', 'claim', 'portray', 'coffin', 'victim', 'coronavirus', 'italy']"
426,A message in an image claims that drinking coffee can help prevent the new coronavirus   ,"['message', 'image', 'claim', 'drinking', 'coffee', 'help', 'prevent', 'coronavirus']"
427,Over     doctors in Italy die every day due to coronavirus   ,"['over', 'doctor', 'italy', 'every', 'coronavirus']"
428,A photo of a fleet of blue lorries bearing the image of Sri Lankan Prime Minister Mahinda Rajapaksa has been shared repeatedly on Facebook and Twitter alongside a claim that the lorries were distributing food during the novel coronavirus curfew   ,"['fleet', 'blue', 'lorry', 'bearing', 'image', 'lankan', 'prime', 'minister', 'mahinda', 'rajapaksa', 'shared', 'repeatedly', 'facebook', 'twitter', 'alongside', 'claim', 'lorry', 'distributing', 'food', 'novel', 'coronavirus', 'curfew']"
429,Images of patients treated in the open are from Italy as it has run out of hospital beds   ,"['image', 'patient', 'treated', 'open', 'italy', 'hospital']"
430,While coronavirus tests in other countries are conducted for free or at nominal charges  in India  it costs Rs        ,"['while', 'coronavirus', 'test', 'country', 'conducted', 'free', 'nominal', 'charge', 'india', 'cost']"
431,Coronavirus has a pH level of     to     and can be prevented and cured by eating alkaline foods   ,"['coronavirus', 'level', 'prevented', 'cured', 'eating', 'alkaline', 'food']"
432,A purported notice issued by the Pakistan Red Crescent and Pakistan s Health Department on COVID    isolation rules has been shared thousands of times on Facebook  The advisory claims that families of those killed while in isolation will not be able to hold funerals or burials for them  ,"['purported', 'notice', 'issued', 'pakistan', 'crescent', 'pakistan', 'health', 'department', 'covid', 'isolation', 'rule', 'shared', 'thousand', 'time', 'facebook', 'advisory', 'claim', 'family', 'killed', 'isolation', 'able', 'hold', 'funeral', 'burial']"
433,An  open letter  purportedly written by US billionaire and philanthropist Bill Gates about the novel coronavirus pandemic has been shared in English and Chinese on Facebook  Twitter and various websites  The Chinese language posts state the letter was translated from its original publication in British newspaper The Sun   ,"['open', 'letter', 'purportedly', 'written', 'billionaire', 'philanthropist', 'bill', 'gate', 'novel', 'coronavirus', 'pandemic', 'shared', 'english', 'chinese', 'facebook', 'twitter', 'various', 'website', 'chinese', 'language', 'post', 'state', 'letter', 'translated', 'original', 'publication', 'british', 'newspaper']"
434,Children will be separated from parents for coronavirus treatment   ,"['child', 'separated', 'parent', 'coronavirus', 'treatment']"
435,Congress included include a raise for themselves in the coronavirus stimulus package   ,"['congress', 'included', 'include', 'raise', 'coronavirus', 'stimulus', 'package']"
436,Tanks are coming into U S  towns in advance for martial law  ,"['tank', 'coming', 'town', 'advance', 'martial']"
437,Bitter gourd juice can cure novel coronavirus  as per Bihar Health Department in India   ,"['bitter', 'gourd', 'juice', 'cure', 'novel', 'coronavirus', 'bihar', 'health', 'department', 'india']"
438,A photo of a couple locked in an intimate embrace with their face masks lowered has been shared in Facebook posts that claim they were nurses who were treating COVID    patients in an Italian hospital   ,"['couple', 'locked', 'intimate', 'embrace', 'face', 'mask', 'lowered', 'shared', 'facebook', 'post', 'claim', 'nurse', 'treating', 'covid', 'patient', 'italian', 'hospital']"
439,An Image is being shared on social media claiming  this italian doctor couple in the picture worked day and night and saved the lives of     patients  but on the eighth day  they caught coronavirus and died after an hour   ,"['image', 'shared', 'social', 'medium', 'claiming', 'italian', 'doctor', 'couple', 'picture', 'worked', 'night', 'saved', 'life', 'patient', 'eighth', 'caught', 'coronavirus', 'died', 'hour']"
440,Paraguayans should not go out  even to buy bread  because the incubation period is up and positive cases of coronavirus will increase   ,"['paraguayan', 'even', 'bread', 'incubation', 'period', 'positive', 'case', 'coronavirus', 'increase']"
441,Holding your breath for    seconds is a way to test for coronavirus   ,"['holding', 'breath', 'second', 'test', 'coronavirus']"
442,Netflix is providing free access to the platform due to quarantine   ,"['netflix', 'providing', 'free', 'access', 'platform', 'quarantine']"
443,New York Governor Andrew Cuomo  rejected buying the recommended        ventilators in      for a pandemic  and established death panels and lotteries instead  So he had a chance to buy  in              ventilators at a very low price  and he turned it down    ,"['york', 'governor', 'andrew', 'cuomo', 'rejected', 'buying', 'recommended', 'ventilator', 'pandemic', 'established', 'death', 'panel', 'lottery', 'instead', 'chance', 'ventilator', 'price', 'turned']"
444,Wisconsin Governor Tony Evers is  pushing firearm confiscation orders    ,"['wisconsin', 'governor', 'tony', 'evers', 'pushing', 'firearm', 'confiscation', 'order']"
445,Indian Army has set up a       bed quarantine facility in Rajasthan s Barmer   ,"['indian', 'army', 'quarantine', 'facility', 'rajasthan', 'barmer']"
446,Justin Trudeau s wife has released a video from her hospital bed   ,"['justin', 'trudeau', 'wife', 'released', 'hospital']"
447,President of Italy crying because of the coronavirus pandemic   ,"['president', 'italy', 'coronavirus', 'pandemic']"
448,There is no coronavirus  The Chinese were secretly working on a biological agent that was supposed to make protesters docile and obedient   ,"['there', 'coronavirus', 'chinese', 'secretly', 'working', 'biological', 'agent', 'supposed', 'make', 'protester', 'docile', 'obedient']"
449,Tea can cure coronavirus   ,"['cure', 'coronavirus']"
450,New vaccine can help cure coronavirus in three hours   ,"['vaccine', 'help', 'cure', 'coronavirus', 'three', 'hour']"
451,Gargling with hot water can prevent coronavirus infection   ,"['gargling', 'water', 'prevent', 'coronavirus', 'infection']"
452,A video has been shared thousands of times in multiple posts on Facebook which claim it shows a woman who was detained by police in Australia after she tested positive for the novel coronavirus  COVID     and was filmed spitting at a supermarket in a Sydney suburb   ,"['shared', 'thousand', 'time', 'multiple', 'post', 'facebook', 'claim', 'show', 'woman', 'detained', 'police', 'australia', 'tested', 'positive', 'novel', 'coronavirus', 'covid', 'filmed', 'spitting', 'supermarket', 'sydney', 'suburb']"
453,A screenshot of a purported news broadcast showing a lion in the street and reporting that Russia has deployed hundreds of lions to maintain order during the novel coronavirus lockdown has been shared tens of thousands of times on Facebook and Twitter   ,"['purported', 'news', 'broadcast', 'showing', 'lion', 'street', 'reporting', 'russia', 'deployed', 'hundred', 'lion', 'maintain', 'order', 'novel', 'coronavirus', 'lockdown', 'shared', 'thousand', 'time', 'facebook', 'twitter']"
454,A purported news report claims that Philippine President Rodrigo Duterte approved the release of P        USD       to all recipients of the Philippines  Social Security System  SSS  to help them through the novel coronavirus pandemic   ,"['purported', 'news', 'report', 'claim', 'philippine', 'president', 'rodrigo', 'duterte', 'approved', 'release', 'recipient', 'philippine', 'social', 'security', 'system', 'help', 'novel', 'coronavirus', 'pandemic']"
455,A video allegedly showing Canadian Prime Minister Justin Trudeau s wife in a hospital bed urging people to stay home to avoid ending up seriously ill with the novel coronavirus has been shared thousands of times on Facebook and Twitter   ,"['allegedly', 'showing', 'canadian', 'prime', 'minister', 'justin', 'trudeau', 'wife', 'hospital', 'urging', 'people', 'stay', 'home', 'avoid', 'ending', 'seriously', 'novel', 'coronavirus', 'shared', 'thousand', 'time', 'facebook', 'twitter']"
456,   new COVID    cases confirmed in Mombasa   ,"['covid', 'case', 'confirmed', 'mombasa']"
457,A photo showing the bodies of Italian COVID    victims on a street   ,"['showing', 'body', 'italian', 'covid', 'victim', 'street']"
458,Pakistani Dr  Usman Riaz speaks about coronavirus before his death   ,"['pakistani', 'usman', 'riaz', 'speaks', 'coronavirus', 'death']"
459,Purported advisories urging residents to stay indoors while national air force helicopters spray disinfectant over homes to kill off the novel coronavirus have been circulated online in Sri Lanka and the Philippines   ,"['purported', 'advisory', 'urging', 'resident', 'stay', 'indoors', 'national', 'force', 'helicopter', 'spray', 'disinfectant', 'home', 'kill', 'novel', 'coronavirus', 'circulated', 'online', 'lanka', 'philippine']"
460,Globe Telecom is giving every subscriber free mobile load worth P    as help or donation amid the coronavirus crisis   ,"['globe', 'telecom', 'giving', 'every', 'subscriber', 'free', 'mobile', 'load', 'worth', 'help', 'donation', 'amid', 'coronavirus', 'crisis']"
461,Gargling with hot water cures coronavirus  says a doctor from Mumbai s COVID    hospital   ,"['gargling', 'water', 'cure', 'coronavirus', 'doctor', 'mumbai', 'covid', 'hospital']"
462,A police commissioner from Mumbai has asked essential services to be available at certain hours   ,"['police', 'commissioner', 'mumbai', 'asked', 'essential', 'service', 'available', 'certain', 'hour']"
463,Says that under order from Gov  Tony Evers  he and his eight children can t legally have dinner together anymore   ,"['order', 'tony', 'evers', 'eight', 'child', 'legally', 'dinner', 'together', 'anymore']"
464,Says Nancy Pelosi s coronavirus bill includes  tax credits for solar and wind energy   retirement plans for community newspaper employees        million for PBS   climate change studies  and more   ,"['nancy', 'pelosi', 'coronavirus', 'bill', 'includes', 'credit', 'solar', 'wind', 'energy', 'retirement', 'plan', 'community', 'newspaper', 'employee', 'million', 'climate', 'change', 'study']"
465,Gargling with warm water and salt or vinegar eliminates the coronavirus   ,"['gargling', 'warm', 'water', 'salt', 'vinegar', 'eliminates', 'coronavirus']"
466, SARS CoV    is spreading quickly from gas pumps  Shopping carts as well   ,"['sars', 'spreading', 'quickly', 'pump', 'shopping', 'cart', 'well']"
467,Trump web ad usings misleading edits to create a false picture   ,"['trump', 'using', 'misleading', 'edits', 'create', 'false', 'picture']"
468,A post says that  on              people died in Italy and included     kids   ,"['people', 'died', 'italy', 'included']"
469,A post says that a vaccine for the new coronavirus will be available in a few days   ,"['vaccine', 'coronavirus', 'available']"
470,Facebook posts featuring a photo of ventilators in the U S  state of New York claim the devices are  stuck in a warehouse    ,"['facebook', 'post', 'featuring', 'ventilator', 'state', 'york', 'claim', 'device', 'stuck', 'warehouse']"
471,Photo of people in medical scrubs lying on the floor of an operating theatre shows some of the     Italian doctors who died of COVID    in one day on           ,"['photo', 'people', 'medical', 'scrub', 'lying', 'floor', 'operating', 'theatre', 'show', 'italian', 'doctor', 'died', 'covid']"
472,A video of a woman reciting Sanskrit verses has been viewed thousands of times on Facebook and Twitter alongside a claim that she was delivering sacred verses on a Spanish radio station during the novel coronavirus pandemic   ,"['woman', 'reciting', 'sanskrit', 'verse', 'viewed', 'thousand', 'time', 'facebook', 'twitter', 'alongside', 'claim', 'delivering', 'sacred', 'verse', 'spanish', 'radio', 'station', 'novel', 'coronavirus', 'pandemic']"
473,Multiple posts shared repeatedly on Facebook and Twitter claim that a Hong Kong medical lab has warned the novel coronavirus can remain viable on fruits and vegetables for    hours  therefore people should  avoid salads  over fears of contracting COVID      ,"['multiple', 'post', 'shared', 'repeatedly', 'facebook', 'twitter', 'claim', 'hong', 'kong', 'medical', 'warned', 'novel', 'coronavirus', 'remain', 'viable', 'fruit', 'vegetable', 'hour', 'therefore', 'people', 'avoid', 'salad', 'fear', 'contracting', 'covid']"
474,Deaths blamed on coronavirus are actually due to the flu   ,"['death', 'blamed', 'coronavirus', 'actually']"
475,The names of coronavirus victims have been published online in media   ,"['name', 'coronavirus', 'victim', 'published', 'online', 'medium']"
476,A new vaccine to cure coronavirus has been developed by U S  scientists   ,"['vaccine', 'cure', 'coronavirus', 'developed', 'scientist']"
477,A photo has been shared hundreds of times on Facebook alongside a claim it shows coffins of coronavirus victims in Italy   ,"['shared', 'hundred', 'time', 'facebook', 'alongside', 'claim', 'show', 'coffin', 'coronavirus', 'victim', 'italy']"
478,Russia has allegedly unleashed over     lions in order to ensure that people stay inside their houses   ,"['russia', 'allegedly', 'unleashed', 'lion', 'order', 'ensure', 'people', 'stay', 'inside', 'house']"
479,A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered  The viral forward also claims that the treatment for coronavirus is mentioned in India s Intermediate Zoology book  The viral forward reads   It is not a new disease as it is already mentioned in the Intermediate zoology book along with its treatment  It happens sometimes that many great scientists and doctors do not focus on lesser known books as they are mostly busy with famous books  Book name  Zoology  Writer  Dr  Ramesh Gupta  Page No         Friends  this is not fake news so I request you to kindly share it maximum so all coronavirus patients are treated in time    ,"['whatsapp', 'forward', 'gone', 'viral', 'claimed', 'vaccine', 'coronavirus', 'discovered', 'viral', 'forward', 'also', 'claim', 'treatment', 'coronavirus', 'mentioned', 'india', 'intermediate', 'zoology', 'book', 'viral', 'forward', 'read', 'disease', 'already', 'mentioned', 'intermediate', 'zoology', 'book', 'along', 'treatment', 'happens', 'sometimes', 'many', 'great', 'scientist', 'doctor', 'focus', 'lesser', 'known', 'book', 'mostly', 'busy', 'famous', 'book', 'book', 'name', 'zoology', 'writer', 'ramesh', 'gupta', 'page', 'friend', 'fake', 'news', 'request', 'kindly', 'share', 'maximum', 'coronavirus', 'patient', 'treated', 'time']"
480,An audio message lists five ways people can prevent the novel coronavirus                 ,"['message', 'list', 'five', 'people', 'prevent', 'novel', 'coronavirus']"
481,The WHO confirms COVID    is airborne and remains in the air for   hours   ,"['confirms', 'covid', 'airborne', 'remains', 'hour']"
482,A WhatsApp forward claims that the COVID    vaccine is ready  was announced by U S  President Donald Trump  and will be launched next Sunday  It also claims that the vaccine discovered by the U S  scientists can cure a COVID    infected patient within   hours  With the WhatsApp forward  the alleged image of the vaccine is also being shared   ,"['whatsapp', 'forward', 'claim', 'covid', 'vaccine', 'ready', 'announced', 'president', 'donald', 'trump', 'launched', 'next', 'sunday', 'also', 'claim', 'vaccine', 'discovered', 'scientist', 'cure', 'covid', 'infected', 'patient', 'within', 'hour', 'with', 'whatsapp', 'forward', 'alleged', 'image', 'vaccine', 'also', 'shared']"
483,Italy s Prime Minister Giuseppe Conte broke down publicly due to the ongoing coronavirus pandemic   ,"['italy', 'prime', 'minister', 'giuseppe', 'conte', 'broke', 'publicly', 'ongoing', 'coronavirus', 'pandemic']"
484,A Facebook post asserts the U S  developed a COVID    vaccine to release this Sunday   ,"['facebook', 'asserts', 'developed', 'covid', 'vaccine', 'release', 'sunday']"
485,A lengthy post purportedly contains advice on how to prevent infection from the novel coronavirus  The post claims the advice was issued by a UK hospital to its medical staff   ,"['lengthy', 'purportedly', 'contains', 'advice', 'prevent', 'infection', 'novel', 'coronavirus', 'claim', 'advice', 'issued', 'hospital', 'medical', 'staff']"
486,Holding your breath can let you test whether you may have COVID      ,"['holding', 'breath', 'test', 'whether', 'covid']"
487,Roche has developed a COVID    vaccine   ,"['roche', 'developed', 'covid', 'vaccine']"
488,A photo showing Uganda s first case of COVID      ,"['showing', 'uganda', 'first', 'case', 'covid']"
489,Russian President Vladimir Putin releases     tigers and     lions amid the coronavirus outbreak to keep people at home   ,"['russian', 'president', 'vladimir', 'putin', 'release', 'tiger', 'lion', 'amid', 'coronavirus', 'outbreak', 'keep', 'people', 'home']"
490,Italian Prime Minister Giuseppe Conte was quoted in various posts and graphics on Facebook as saying they have  lost control  of the coronavirus pandemic that is greatly affecting Italy   ,"['italian', 'prime', 'minister', 'giuseppe', 'conte', 'quoted', 'various', 'post', 'graphic', 'facebook', 'saying', 'lost', 'control', 'coronavirus', 'pandemic', 'greatly', 'affecting', 'italy']"
491,A new vaccine that can cure COVID    patients in   hours is now ready   ,"['vaccine', 'cure', 'covid', 'patient', 'hour', 'ready']"
